sampleid,x,y
234,280,1
235,505,1
236,862,1
237,801,1
238,308,1
239,689,1
240,625,1
241,6,1
242,521,1
243,266,1
244,497,1
245,776,1
246,730,1
247,146,1
248,992,1
249,164,1
250,487,1
251,783,1
252,911,1
253,254,1
254,656,1
255,777,1
256,6,1
257,163,1
258,102,1
259,376,1
260,568,1
261,403,1
262,193,1
263,213,1
264,201,1
265,313,1
266,22,1
267,749,1
268,782,1
269,162,1
270,322,1
271,188,1
272,573,1
273,284,1
274,651,1
275,986,1
276,5,1
277,528,1
278,881,1
279,956,1
280,17,1
281,503,1
282,294,1
283,800,1
284,231,1
285,72,1
286,238,1
287,551,1
288,821,1
289,489,1
290,336,1
291,736,1
292,456,1
293,363,1
294,294,1
295,447,1
296,502,1
297,623,1
298,355,1
299,574,1
300,607,1
301,925,1
302,159,1
303,560,1
304,199,1
305,129,1
306,34,1
307,473,1
308,49,1
309,785,1
310,472,1
311,82,1
312,13,1
313,292,1
314,975,1
315,644,1
316,58,1
317,615,1
318,879,1
319,294,1
320,883,1
321,791,1
322,904,1
323,104,1
324,158,1
325,467,1
326,110,1
327,333,1
328,369,1
329,531,1
330,851,1
331,773,1
332,703,1
333,245,1
334,911,1
335,970,1
336,126,1
337,50,1
338,729,1
339,261,1
340,453,1
341,108,1
342,249,1
343,371,1
344,651,1
345,51,1
346,70,1
347,993,1
348,27,1
349,958,1
350,408,1
351,18,1
352,234,1
353,500,1
354,926,1
355,883,1
356,391,1
357,71,1
358,314,1
359,609,1
360,420,1
361,650,1
362,805,1
363,50,1
364,981,1
365,716,1
366,201,1
367,872,1
368,229,1
369,315,1
370,475,1
371,720,1
372,910,1
373,719,1
374,221,1
375,215,1
376,419,1
377,1001,0
378,754,1
379,853,1
380,464,1
381,729,1
382,278,1
383,243,1
384,88,1
385,155,1
386,1006,0
387,481,1
388,924,1
389,938,1
390,339,1
391,860,1
392,127,1
393,791,1
394,171,1
395,965,1
396,461,1
397,889,1
398,910,1
399,393,1
400,942,1
401,805,1
402,528,1
403,42,1
404,545,1
405,301,1
406,86,1
407,997,1
408,875,1
409,729,1
410,616,1
411,113,1
412,328,1
413,208,1
414,798,1
415,298,1
416,417,1
417,197,1
418,669,1
419,405,1
420,243,1
421,771,1
422,129,1
423,987,1
424,651,1
425,64,1
426,539,1
427,721,1
428,529,1
429,341,1
430,350,1
431,825,1
432,542,1
433,168,1
434,1008,0
435,546,1
436,440,1
437,906,1
438,315,1
439,73,1
440,1007,0
441,7,1
442,928,1
443,29,1
444,860,1
445,879,1
446,199,1
447,658,1
448,658,1
449,594,1
450,3,1
451,151,1
452,230,1
453,250,1
454,11,1
455,640,1
456,479,1
457,200,1
458,665,1
459,630,1
460,132,1
461,348,1
462,158,1
463,673,1
464,341,1
465,412,1
466,199,1
467,174,1
468,767,1
469,989,1
470,676,1
471,699,1
472,316,1
473,411,1
474,1019,0
475,924,1
476,788,1
477,43,1
478,0,1
479,150,1
480,679,1
481,753,1
482,443,1
483,868,1
484,572,1
485,890,1
486,9,1
487,561,1
488,824,1
489,242,1
490,431,1
491,658,1
492,985,1
493,1015,0
494,888,1
495,805,1
496,963,1
497,854,1
498,820,1
499,381,1
500,249,1
501,831,1
502,439,1
503,463,1
504,427,1
505,818,1
506,908,1
507,733,1
508,713,1
509,675,1
510,776,1
511,818,1
512,668,1
513,876,1
514,705,1
515,459,1
516,534,1
517,554,1
518,954,1
519,718,1
520,189,1
521,485,1
522,1001,0
523,845,1
524,5,1
525,481,1
526,962,1
527,101,1
528,818,1
529,822,1
530,77,1
531,796,1
532,507,1
533,89,1
534,470,1
535,537,1
536,393,1
537,986,1
538,302,1
539,853,1
540,338,1
541,140,1
542,905,1
543,916,1
544,198,1
545,633,1
546,851,1
547,613,1
548,576,1
549,607,1
550,136,1
551,201,1
552,319,1
553,55,1
554,851,1
555,823,1
556,557,1
557,955,1
558,352,1
559,62,1
560,345,1
561,821,1
562,405,1
563,669,1
564,603,1
565,314,1
566,298,1
567,890,1
568,25,1
569,755,1
570,149,1
571,923,1
572,281,1
573,786,1
574,922,1
575,490,1
576,799,1
577,105,1
578,294,1
579,543,1
580,283,1
581,1000,1
582,96,1
583,710,1
584,540,1
585,957,1
586,356,1
587,61,1
588,732,1
589,495,1
590,1001,0
591,797,1
592,727,1
593,954,1
594,38,1
595,521,1
596,939,1
597,904,1
598,1007,0
599,948,1
600,568,1
601,21,1
602,746,1
603,1017,0
604,690,1
605,952,1
606,861,1
607,622,1
608,909,1
609,351,1
610,872,1
611,262,1
612,697,1
613,498,1
614,339,1
615,100,1
616,536,1
617,72,1
618,527,1
619,233,1
620,798,1
621,860,1
622,915,1
623,286,1
624,7,1
625,275,1
626,449,1
627,689,1
628,60,1
629,946,1
630,483,1
631,417,1
632,885,1
633,428,1
634,182,1
635,969,1
636,64,1
637,869,1
638,700,1
639,1013,0
640,239,1
641,509,1
642,300,1
643,258,1
644,468,1
645,81,1
646,450,1
647,956,1
648,858,1
649,107,1
650,251,1
651,447,1
652,256,1
653,307,1
654,549,1
655,172,1
656,468,1
657,1008,0
658,764,1
659,351,1
660,218,1
661,835,1
662,262,1
663,715,1
664,53,1
665,557,1
666,930,1
667,501,1
668,55,1
669,69,1
670,726,1
671,589,1
672,615,1
673,276,1
674,450,1
675,87,1
676,258,1
677,444,1
678,823,1
679,19,1
680,414,1
681,1024,0
682,982,1
683,4,1
684,252,1
685,856,1
686,601,1
687,817,1
688,50,1
689,792,1
690,124,1
691,659,1
692,129,1
693,247,1
694,89,1
695,430,1
696,690,1
697,667,1
698,998,1
699,961,1
700,217,1
701,40,1
702,218,1
703,128,1
704,13,1
705,953,1
706,989,1
707,322,1
708,605,1
709,920,1
710,418,1
711,805,1
712,1014,0
713,287,1
714,79,1
715,632,1
716,827,1
717,60,1
718,300,1
719,562,1
720,754,1
721,18,1
722,669,1
723,170,1
724,136,1
725,605,1
726,78,1
727,685,1
728,1004,0
729,965,1
730,168,1
731,835,1
732,1018,0
733,898,1
734,951,1
735,39,1
736,182,1
737,492,1
738,45,1
739,699,1
740,974,1
741,888,1
742,6,1
743,271,1
744,580,1
745,677,1
746,560,1
747,967,1
748,188,1
749,940,1
750,396,1
751,939,1
752,292,1
753,928,1
754,996,1
755,562,1
756,289,1
757,313,1
758,638,1
759,542,1
760,144,1
761,369,1
762,548,1
763,19,1
764,397,1
765,428,1
766,269,1
767,193,1
768,95,1
769,49,1
770,158,1
771,880,1
772,755,1
773,865,1
774,213,1
775,564,1
776,931,1
777,427,1
778,312,1
779,787,1
780,618,1
781,118,1
782,771,1
783,647,1
784,339,1
785,1025,0
786,451,1
787,382,1
788,622,1
789,901,1
790,674,1
791,969,1
792,94,1
793,157,1
794,401,1
795,853,1
796,651,1
797,677,1
798,884,1
799,1007,0
800,851,1
801,330,1
802,899,1
803,816,1
804,581,1
805,445,1
806,418,1
807,953,1
808,885,1
809,397,1
810,977,1
811,442,1
812,773,1
813,902,1
814,648,1
815,804,1
816,547,1
817,91,1
818,211,1
819,264,1
820,972,1
821,771,1
822,224,1
823,826,1
824,1002,0
825,315,1
826,981,1
827,853,1
828,478,1
829,678,1
830,207,1
831,279,1
832,45,1
833,579,1
834,922,1
835,131,1
836,725,1
837,992,1
838,93,1
839,716,1
840,819,1
841,45,1
842,805,1
843,103,1
844,925,1
845,875,1
846,544,1
847,550,1
848,546,1
849,364,1
850,963,1
851,179,1
852,603,1
853,924,1
854,693,1
855,555,1
856,297,1
857,877,1
858,249,1
859,153,1
860,78,1
861,636,1
862,366,1
863,333,1
864,277,1
865,122,1
866,414,1
867,390,1
868,609,1
869,879,1
870,603,1
871,304,1
872,672,1
873,330,1
874,498,1
875,965,1
876,54,1
877,742,1
878,96,1
879,684,1
880,246,1
881,185,1
882,420,1
883,221,1
884,952,1
885,17,1
886,216,1
887,590,1
888,718,1
889,173,1
890,1,1
891,374,1
892,62,1
893,223,1
894,806,1
895,990,1
896,689,1
897,245,1
898,14,1
899,263,1
900,587,1
901,745,1
902,419,1
903,555,1
904,946,1
905,265,1
906,935,1
907,741,1
908,875,1
909,78,1
910,705,1
911,321,1
912,950,1
913,328,1
914,306,1
915,987,1
916,167,1
917,840,1
918,563,1
919,27,1
920,938,1
921,98,1
922,343,1
923,632,1
924,908,1
925,172,1
926,138,1
927,507,1
928,470,1
929,76,1
930,741,1
931,92,1
932,849,1
933,825,1
934,494,1
935,840,1
936,132,1
937,76,1
938,408,1
939,1007,0
940,25,1
941,229,1
942,424,1
943,234,1
944,41,1
945,984,1
946,55,1
947,917,1
948,185,1
949,609,1
950,11,1
951,143,1
952,501,1
953,216,1
954,286,1
955,936,1
956,936,1
957,515,1
958,52,1
959,532,1
960,570,1
961,426,1
962,668,1
963,66,1
964,8,1
965,190,1
966,944,1
967,980,1
968,94,1
969,132,1
970,770,1
971,703,1
972,235,1
973,768,1
974,612,1
975,385,1
976,101,1
977,352,1
978,922,1
979,468,1
980,512,1
981,391,1
982,570,1
983,368,1
984,813,1
985,393,1
986,630,1
987,400,1
988,870,1
989,711,1
990,663,1
991,810,1
992,682,1
993,717,1
994,95,1
995,146,1
996,688,1
997,69,1
998,673,1
999,137,1
1000,339,1
1001,1001,0
1002,448,1
1003,613,1
1004,19,1
1005,402,1
1006,375,1
1007,431,1
1008,159,1
1009,673,1
1010,589,1
1011,608,1
1012,266,1
1013,790,1
1014,914,1
1015,87,1
1016,829,1
1017,462,1
1018,690,1
1019,391,1
1020,634,1
1021,877,1
1022,556,1
1023,398,1
1024,524,1
1025,544,1
1026,767,1
1027,591,1
1028,120,1
1029,669,1
1030,531,1
1031,60,1
1032,1018,0
1033,914,1
1034,305,1
1035,557,1
1036,824,1
1037,486,1
1038,405,1
1039,890,1
1040,949,1
1041,148,1
1042,146,1
1043,613,1
1044,393,1
1045,453,1
1046,130,1
1047,30,1
1048,524,1
1049,160,1
1050,388,1
1051,456,1
1052,331,1
1053,16,1
1054,837,1
1055,887,1
1056,56,1
1057,613,1
1058,687,1
1059,957,1
1060,300,1
1061,896,1
1062,835,1
1063,712,1
1064,846,1
1065,878,1
1066,821,1
1067,331,1
1068,390,1
1069,1002,0
1070,450,1
1071,9,1
1072,673,1
1073,418,1
1074,203,1
1075,994,1
1076,702,1
1077,109,1
1078,499,1
1079,112,1
1080,773,1
1081,789,1
1082,92,1
1083,204,1
1084,838,1
1085,68,1
1086,195,1
1087,260,1
1088,996,1
1089,457,1
1090,725,1
1091,440,1
1092,581,1
1093,29,1
1094,900,1
1095,996,1
1096,12,1
1097,101,1
1098,337,1
1099,257,1
1100,140,1
1101,209,1
1102,818,1
1103,598,1
1104,424,1
1105,295,1
1106,482,1
1107,360,1
1108,399,1
1109,411,1
1110,278,1
1111,417,1
1112,749,1
1113,32,1
1114,762,1
1115,361,1
1116,917,1
1117,249,1
1118,441,1
1119,455,1
1120,663,1
1121,338,1
1122,494,1
1123,187,1
1124,236,1
1125,142,1
1126,731,1
1127,542,1
1128,288,1
1129,540,1
1130,794,1
1131,262,1
1132,774,1
1133,703,1
1134,900,1
1135,984,1
1136,23,1
1137,694,1
1138,268,1
1139,905,1
1140,435,1
1141,938,1
1142,25,1
1143,812,1
1144,719,1
1145,200,1
1146,749,1
1147,309,1
1148,513,1
1149,597,1
1150,350,1
1151,869,1
1152,141,1
1153,652,1
1154,597,1
1155,89,1
1156,346,1
1157,501,1
1158,900,1
1159,199,1
1160,162,1
1161,943,1
1162,361,1
1163,705,1
1164,794,1
1165,649,1
1166,624,1
1167,567,1
1168,996,1
1169,12,1
1170,217,1
1171,10,1
1172,831,1
1173,636,1
1174,993,1
1175,337,1
1176,802,1
1177,811,1
1178,931,1
1179,488,1
1180,75,1
1181,483,1
1182,580,1
1183,698,1
1184,520,1
1185,264,1
1186,506,1
1187,910,1
1188,944,1
1189,856,1
1190,611,1
1191,556,1
1192,703,1
1193,608,1
1194,681,1
1195,1015,0
1196,664,1
1197,892,1
1198,307,1
1199,596,1
1200,625,1
1201,886,1
1202,917,1
1203,809,1
1204,546,1
1205,148,1
1206,704,1
1207,735,1
1208,970,1
1209,325,1
1210,156,1
1211,611,1
1212,536,1
1213,501,1
1214,182,1
1215,620,1
1216,7,1
1217,374,1
1218,664,1
1219,477,1
1220,234,1
1221,720,1
1222,639,1
1223,137,1
1224,632,1
1225,650,1
1226,109,1
1227,97,1
1228,194,1
1229,109,1
1230,455,1
1231,82,1
1232,963,1
1233,781,1
1234,302,1
1235,126,1
1236,527,1
1237,76,1
1238,469,1
1239,975,1
1240,815,1
1241,518,1
1242,764,1
1243,339,1
1244,819,1
1245,487,1
1246,953,1
1247,943,1
1248,232,1
1249,31,1
1250,436,1
1251,994,1
1252,467,1
1253,729,1
1254,74,1
1255,3,1
1256,816,1
1257,879,1
1258,802,1
1259,326,1
1260,191,1
1261,136,1
1262,811,1
1263,312,1
1264,32,1
1265,719,1
1266,809,1
1267,929,1
1268,865,1
1269,713,1
1270,427,1
1271,941,1
1272,961,1
1273,324,1
1274,656,1
1275,295,1
1276,975,1
1277,1009,0
1278,460,1
1279,425,1
1280,836,1
1281,764,1
1282,454,1
1283,198,1
1284,19,1
1285,157,1
1286,815,1
1287,597,1
1288,286,1
1289,284,1
1290,214,1
1291,992,1
1292,443,1
1293,754,1
1294,594,1
1295,821,1
1296,833,1
1297,323,1
1298,777,1
1299,1015,0
1300,438,1
1301,166,1
1302,485,1
1303,213,1
1304,989,1
1305,283,1
1306,654,1
1307,548,1
1308,308,1
1309,428,1
1310,538,1
1311,572,1
1312,51,1
1313,387,1
1314,31,1
1315,762,1
1316,243,1
1317,872,1
1318,353,1
1319,494,1
1320,918,1
1321,854,1
1322,803,1
1323,469,1
1324,45,1
1325,400,1
1326,148,1
1327,564,1
1328,35,1
1329,520,1
1330,837,1
1331,33,1
1332,862,1
1333,507,1
1334,720,1
1335,506,1
1336,962,1
1337,270,1
1338,738,1
1339,811,1
1340,647,1
1341,176,1
1342,339,1
1343,249,1
1344,856,1
1345,695,1
1346,16,1
1347,918,1
1348,76,1
1349,146,1
1350,840,1
1351,64,1
1352,221,1
1353,615,1
1354,332,1
1355,844,1
1356,789,1
1357,475,1
1358,578,1
1359,501,1
1360,516,1
1361,968,1
1362,680,1
1363,213,1
1364,303,1
1365,975,1
1366,833,1
1367,650,1
1368,110,1
1369,870,1
1370,452,1
1371,759,1
1372,551,1
1373,400,1
1374,303,1
1375,710,1
1376,678,1
1377,524,1
1378,828,1
1379,622,1
1380,989,1
1381,962,1
1382,564,1
1383,288,1
1384,369,1
1385,284,1
1386,276,1
1387,575,1
1388,758,1
1389,26,1
1390,920,1
1391,439,1
1392,218,1
1393,972,1
1394,469,1
1395,85,1
1396,932,1
1397,766,1
1398,129,1
1399,295,1
1400,1010,0
1401,144,1
1402,223,1
1403,696,1
1404,194,1
1405,122,1
1406,649,1
1407,736,1
1408,834,1
1409,70,1
1410,733,1
1411,111,1
1412,888,1
1413,677,1
1414,98,1
1415,796,1
1416,3,1
1417,139,1
1418,206,1
1419,46,1
1420,655,1
1421,397,1
1422,522,1
1423,85,1
1424,660,1
1425,362,1
1426,875,1
1427,754,1
1428,674,1
1429,867,1
1430,701,1
1431,291,1
1432,304,1
1433,753,1
1434,291,1
1435,976,1
1436,519,1
1437,337,1
1438,51,1
1439,621,1
1440,251,1
1441,444,1
1442,225,1
1443,738,1
1444,948,1
1445,199,1
1446,100,1
1447,908,1
1448,86,1
1449,472,1
1450,277,1
1451,689,1
1452,217,1
1453,65,1
1454,159,1
1455,384,1
1456,147,1
1457,81,1
1458,585,1
1459,64,1
1460,98,1
1461,657,1
1462,354,1
1463,779,1
1464,208,1
1465,131,1
1466,30,1
1467,170,1
1468,39,1
1469,882,1
1470,380,1
1471,364,1
1472,881,1
1473,897,1
1474,295,1
1475,956,1
1476,920,1
1477,307,1
1478,181,1
1479,219,1
1480,477,1
1481,467,1
1482,542,1
1483,230,1
1484,1018,0
1485,419,1
1486,24,1
1487,8,1
1488,165,1
1489,871,1
1490,295,1
1491,267,1
1492,234,1
1493,472,1
1494,1008,0
1495,417,1
1496,904,1
1497,830,1
1498,878,1
1499,87,1
1500,993,1
1501,182,1
1502,64,1
1503,190,1
1504,732,1
1505,66,1
1506,971,1
1507,1017,0
1508,1020,0
1509,673,1
1510,557,1
1511,880,1
1512,223,1
1513,671,1
1514,74,1
1515,149,1
1516,272,1
1517,902,1
1518,811,1
1519,638,1
1520,579,1
1521,466,1
1522,955,1
1523,310,1
1524,559,1
1525,657,1
1526,340,1
1527,785,1
1528,690,1
1529,30,1
1530,611,1
1531,761,1
1532,80,1
1533,546,1
1534,926,1
1535,22,1
1536,125,1
1537,1003,0
1538,260,1
1539,622,1
1540,624,1
1541,296,1
1542,49,1
1543,719,1
1544,862,1
1545,98,1
1546,975,1
1547,919,1
1548,536,1
1549,621,1
1550,32,1
1551,116,1
1552,3,1
1553,739,1
1554,610,1
1555,409,1
1556,465,1
1557,419,1
1558,869,1
1559,848,1
1560,614,1
1561,485,1
1562,236,1
1563,992,1
1564,743,1
1565,291,1
1566,846,1
1567,759,1
1568,22,1
1569,753,1
1570,20,1
1571,396,1
1572,675,1
1573,474,1
1574,635,1
1575,449,1
1576,308,1
1577,86,1
1578,337,1
1579,512,1
1580,285,1
1581,289,1
1582,369,1
1583,761,1
1584,771,1
1585,438,1
1586,907,1
1587,634,1
1588,72,1
1589,514,1
1590,227,1
1591,932,1
1592,642,1
1593,365,1
1594,234,1
1595,1017,0
1596,422,1
1597,631,1
1598,485,1
1599,870,1
1600,780,1
1601,426,1
1602,282,1
1603,275,1
1604,1018,0
1605,379,1
1606,96,1
1607,450,1
1608,700,1
1609,796,1
1610,681,1
1611,661,1
1612,332,1
1613,238,1
1614,505,1
1615,453,1
1616,211,1
1617,520,1
1618,213,1
1619,663,1
1620,916,1
1621,458,1
1622,546,1
1623,908,1
1624,276,1
1625,56,1
1626,99,1
1627,564,1
1628,948,1
1629,987,1
1630,645,1
1631,228,1
1632,121,1
1633,562,1
1634,370,1
1635,606,1
1636,775,1
1637,456,1
1638,219,1
1639,66,1
1640,873,1
1641,866,1
1642,256,1
1643,275,1
1644,276,1
1645,386,1
1646,780,1
1647,267,1
1648,806,1
1649,899,1
1650,49,1
1651,464,1
1652,58,1
1653,386,1
1654,711,1
1655,275,1
1656,1005,0
1657,785,1
1658,602,1
1659,72,1
1660,568,1
1661,617,1
1662,332,1
1663,46,1
1664,294,1
1665,94,1
1666,628,1
1667,57,1
1668,647,1
1669,335,1
1670,378,1
1671,501,1
1672,840,1
1673,473,1
1674,832,1
1675,133,1
1676,173,1
1677,319,1
1678,835,1
1679,168,1
1680,95,1
1681,649,1
1682,424,1
1683,164,1
1684,331,1
1685,892,1
1686,165,1
1687,844,1
1688,831,1
1689,274,1
1690,45,1
1691,853,1
1692,324,1
1693,447,1
1694,38,1
1695,871,1
1696,439,1
1697,61,1
1698,800,1
1699,902,1
1700,954,1
1701,333,1
1702,541,1
1703,837,1
1704,883,1
1705,975,1
1706,454,1
1707,412,1
1708,232,1
1709,725,1
1710,184,1
1711,691,1
1712,535,1
1713,860,1
1714,438,1
1715,333,1
1716,308,1
1717,47,1
1718,499,1
1719,158,1
1720,972,1
1721,169,1
1722,159,1
1723,660,1
1724,283,1
1725,933,1
1726,809,1
1727,984,1
1728,161,1
1729,269,1
1730,219,1
1731,845,1
1732,779,1
1733,626,1
1734,321,1
1735,106,1
1736,120,1
1737,551,1
1738,558,1
1739,981,1
1740,768,1
1741,7,1
1742,476,1
1743,718,1
1744,304,1
1745,821,1
1746,834,1
1747,608,1
1748,771,1
1749,355,1
1750,829,1
1751,434,1
1752,224,1
1753,827,1
1754,710,1
1755,714,1
1756,308,1
1757,138,1
1758,73,1
1759,511,1
1760,135,1
1761,252,1
1762,413,1
1763,257,1
1764,938,1
1765,941,1
1766,395,1
1767,872,1
1768,720,1
1769,986,1
1770,284,1
1771,302,1
1772,518,1
1773,870,1
1774,975,1
1775,987,1
1776,950,1
1777,793,1
1778,611,1
1779,640,1
1780,310,1
1781,848,1
1782,886,1
1783,825,1
1784,313,1
1785,479,1
1786,579,1
1787,180,1
1788,151,1
1789,880,1
1790,185,1
1791,785,1
1792,508,1
1793,421,1
1794,208,1
1795,823,1
1796,767,1
1797,67,1
1798,811,1
1799,655,1
1800,432,1
1801,289,1
1802,879,1
1803,836,1
1804,824,1
1805,801,1
1806,912,1
1807,35,1
1808,535,1
1809,835,1
1810,1005,0
1811,397,1
1812,1015,0
1813,786,1
1814,374,1
1815,422,1
1816,792,1
1817,551,1
1818,308,1
1819,50,1
1820,498,1
1821,466,1
1822,409,1
1823,358,1
1824,600,1
1825,196,1
1826,505,1
1827,13,1
1828,724,1
1829,371,1
1830,196,1
1831,2,1
1832,886,1
1833,20,1
1834,834,1
1835,608,1
1836,772,1
1837,235,1
1838,330,1
1839,540,1
1840,890,1
1841,102,1
1842,935,1
1843,156,1
1844,623,1
1845,799,1
1846,864,1
1847,206,1
1848,560,1
1849,419,1
1850,762,1
1851,749,1
1852,321,1
1853,583,1
1854,816,1
1855,774,1
1856,790,1
1857,742,1
1858,555,1
1859,868,1
1860,789,1
1861,765,1
1862,583,1
1863,350,1
1864,371,1
1865,396,1
1866,790,1
1867,428,1
1868,723,1
1869,665,1
1870,873,1
1871,88,1
1872,958,1
1873,717,1
1874,690,1
1875,957,1
1876,747,1
1877,659,1
1878,812,1
1879,456,1
1880,381,1
1881,92,1
1882,931,1
1883,480,1
1884,344,1
1885,211,1
1886,580,1
1887,106,1
1888,35,1
1889,402,1
1890,176,1
1891,10,1
1892,11,1
1893,1025,0
1894,508,1
1895,65,1
1896,559,1
1897,118,1
1898,388,1
1899,638,1
1900,382,1
1901,729,1
1902,618,1
1903,669,1
1904,482,1
1905,206,1
1906,353,1
1907,738,1
1908,593,1
1909,51,1
1910,882,1
1911,4,1
1912,566,1
1913,65,1
1914,357,1
1915,526,1
1916,560,1
1917,452,1
1918,676,1
1919,1003,0
1920,450,1
1921,123,1
1922,767,1
1923,125,1
1924,802,1
1925,442,1
1926,965,1
1927,732,1
1928,388,1
1929,533,1
1930,354,1
1931,542,1
1932,722,1
1933,410,1
1934,127,1
1935,928,1
1936,146,1
1937,407,1
1938,26,1
1939,197,1
1940,783,1
1941,968,1
1942,354,1
1943,289,1
1944,201,1
1945,615,1
1946,549,1
1947,605,1
1948,941,1
1949,112,1
1950,590,1
1951,270,1
1952,711,1
1953,403,1
1954,143,1
1955,866,1
1956,188,1
1957,437,1
1958,986,1
1959,364,1
1960,293,1
1961,186,1
1962,82,1
1963,363,1
1964,516,1
1965,1013,0
1966,88,1
1967,115,1
1968,773,1
1969,321,1
1970,327,1
1971,608,1
1972,26,1
1973,28,1
1974,895,1
1975,203,1
1976,452,1
1977,912,1
1978,615,1
1979,1017,0
1980,1005,0
1981,869,1
1982,351,1
1983,617,1
1984,45,1
1985,396,1
1986,276,1
1987,365,1
1988,374,1
1989,470,1
1990,159,1
1991,374,1
1992,980,1
1993,704,1
1994,284,1
1995,411,1
1996,534,1
1997,833,1
1998,471,1
1999,32,1
2000,716,1
2001,617,1
2002,609,1
2003,630,1
2004,894,1
2005,17,1
2006,129,1
2007,183,1
2008,559,1
2009,61,1
2010,173,1
2011,945,1
2012,17,1
2013,434,1
2014,453,1
2015,579,1
2016,432,1
2017,342,1
2018,686,1
2019,342,1
2020,840,1
2021,888,1
2022,530,1
2023,188,1
2024,673,1
2025,463,1
2026,995,1
2027,71,1
2028,365,1
2029,201,1
2030,719,1
2031,343,1
2032,289,1
2033,50,1
2034,1016,0
2035,716,1
2036,136,1
2037,751,1
2038,101,1
2039,698,1
2040,874,1
2041,725,1
2042,942,1
2043,578,1
2044,897,1
2045,635,1
2046,645,1
2047,968,1
2048,692,1
2049,227,1
2050,602,1
2051,604,1
2052,92,1
2053,553,1
2054,387,1
2055,593,1
2056,241,1
2057,228,1
2058,229,1
2059,895,1
2060,267,1
2061,518,1
2062,267,1
2063,262,1
2064,752,1
2065,664,1
2066,192,1
2067,955,1
2068,49,1
2069,653,1
2070,535,1
2071,471,1
2072,76,1
2073,175,1
2074,728,1
2075,580,1
2076,381,1
2077,150,1
2078,353,1
2079,977,1
2080,120,1
2081,770,1
2082,365,1
2083,509,1
2084,740,1
2085,738,1
2086,97,1
2087,54,1
2088,91,1
2089,635,1
2090,371,1
2091,8,1
2092,462,1
2093,770,1
2094,1006,0
2095,366,1
2096,830,1
2097,192,1
2098,934,1
2099,977,1
2100,785,1
2101,179,1
2102,902,1
2103,666,1
2104,378,1
2105,680,1
2106,151,1
2107,203,1
2108,702,1
2109,514,1
2110,330,1
2111,665,1
2112,678,1
2113,372,1
2114,988,1
2115,580,1
2116,295,1
2117,432,1
2118,622,1
2119,142,1
2120,125,1
2121,899,1
2122,486,1
2123,817,1
2124,803,1
2125,566,1
2126,22,1
2127,570,1
2128,350,1
2129,524,1
2130,461,1
2131,928,1
